code,name,flag,population
HUN,Hungary,\uD83C\uDDED\uD83C\uDDFA,9749763
HRV,Croatia,\uD83C\uDDED\uD83C\uDDF7,4047200
SWE,Sweden,\uD83C\uDDF8\uD83C\uDDEA,10353442
ESP,Spain,\uD83C\uDDEA\uD83C\uDDF8,47351567
NLD,Netherlands,\uD83C\uDDF3\uD83C\uDDF1,16655799
LUX,Luxembourg,\uD83C\uDDF1\uD83C\uDDFA,632275
BEL,Belgium,\uD83C\uDDE7\uD83C\uDDEA,11555997
DEU,Germany,\uD83C\uDDE9\uD83C\uDDEA,83240525
SVN,Slovenia,\uD83C\uDDF8\uD83C\uDDEE,2100126
MLT,Malta,\uD83C\uDDF2\uD83C\uDDF9,525285
FIN,Finland,\uD83C\uDDEB\uD83C\uDDEE,5530719
IRL,Ireland,\uD83C\uDDEE\uD83C\uDDEA,4994724
DNK,Denmark,\uD83C\uDDE9\uD83C\uDDF0,5831404
BGR,Bulgaria,\uD83C\uDDE7\uD83C\uDDEC,6927288
POL,Poland,\uD83C\uDDF5\uD83C\uDDF1,37950802
LVA,Latvia,\uD83C\uDDF1\uD83C\uDDFB,1901548
AUT,Austria,\uD83C\uDDE6\uD83C\uDDF9,8917205
EST,Estonia,\uD83C\uDDEA\uD83C\uDDEA,1331057
PRT,Portugal,\uD83C\uDDF5\uD83C\uDDF9,10305564
CYP,Cyprus,\uD83C\uDDE8\uD83C\uDDFE,1207361
CZE,Czechia,\uD83C\uDDE8\uD83C\uDDFF,10698896
ITA,Italy,\uD83C\uDDEE\uD83C\uDDF9,59554023
GRC,Greece,\uD83C\uDDEC\uD83C\uDDF7,10715549
LTU,Lithuania,\uD83C\uDDF1\uD83C\uDDF9,2794700
SVK,Slovakia,\uD83C\uDDF8\uD83C\uDDF0,5458827
ROU,Romania,\uD83C\uDDF7\uD83C\uDDF4,19286123
FRA,France,\uD83C\uDDEB\uD83C\uDDF7,67391582
FIC,Fiction,,10000000